id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
status,code
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
note,Annotation
useContext,UsageContext
jurisdiction,CodeableConcept
copyright,markdown
approvalDate,date
lastReviewDate,date
effectivePeriod,Period
topic,CodeableConcept
author,ContactDetail
editor,ContactDetail
reviewer,ContactDetail
endorser,ContactDetail
relatedArtifact,RelatedArtifact
synthesisType,CodeableConcept
studyType,CodeableConcept
population,Reference
exposure,Reference
outcome,Reference
sampleSize,RiskEvidenceSynthesis::SampleSize
riskEstimate,RiskEvidenceSynthesis::RiskEstimate
certainty,RiskEvidenceSynthesis::Certainty
